,native_cover,native_cover,invasive_cover,invasive_cover,canopy_cover,canopy_cover,Ce,Ce,Cr,Cr,Ct,Ct,Cep,Cep,MPS,MPS,satisfaction,satisfaction
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
year,,,,,,,,,,,,,,,,,,
0,0.3670021305933788,0.027997293296655276,0.13086238310995923,0.03268154998159331,0.8389319667084242,0.046996351286646795,0.45306094605460323,0.02489000689364814,0.7647709525948839,0.02037935680222304,0.5418305487795476,0.022031155227938005,0.7784507457076825,0.009799052653829342,0.6839043066367261,0.013859904226010761,0.6618837334721341,0.07622322261354504
1,0.3703251669662272,0.032744241442789444,0.1416286446926934,0.03272249767454805,0.804309022735131,0.052487500065875894,0.4522744819217832,0.0289230934092617,0.7471535834516098,0.023379267251675946,0.5329390319553415,0.025983329523367744,0.7796138084381795,0.011460484504976295,0.6821992154862816,0.01648460260220782,0.6461520918985341,0.0693995699136978
2,0.3750905391840211,0.03494838196944199,0.15056100145154963,0.03322329236745701,0.767066088292957,0.051963291570436575,0.4531134107921834,0.030914555252893938,0.7291300848091404,0.025197548644905424,0.5239105691206966,0.02514460398633764,0.7810186905918137,0.012488259419049502,0.6809981039900829,0.01740987594105115,0.6208711972222275,0.08024130181538107
3,0.3791333505311917,0.03772531984438806,0.15977224944139962,0.03506436123257703,0.7399526242602915,0.0575272057754595,0.45331664765539403,0.03382489943365424,0.7150607623996268,0.02785545084844187,0.5175957950171237,0.026742174382113185,0.7819135104495364,0.01336127842671975,0.6798631341743893,0.01886584199941751,0.6094608902638136,0.07904751860804737
4,0.38270264569458906,0.03903547452186763,0.16844771367869954,0.03555738117576154,0.6997328446360458,0.06962226173687697,0.4532922686388694,0.035153669183155885,0.6959364380668734,0.03186460143675431,0.5071360439533789,0.030805598160914514,0.778235423970703,0.017624618204503614,0.6752147675464955,0.02164479359099678,0.5869350860247499,0.08003793566198625
5,0.38852304293153667,0.03920124362111698,0.1775619487181035,0.03505904075158678,0.6722171547570677,0.07427819305165352,0.45475472997537236,0.034862462555305576,0.6817401798514908,0.033161726432849134,0.5015005157463118,0.03245277314323426,0.7754708836718744,0.02309183082774058,0.6722202564694324,0.024581061177670317,0.5826447323177497,0.09370351263912724
6,0.3943038947462982,0.03817433181326715,0.18729812430518425,0.035015646386898226,0.637958568176871,0.09379629857899725,0.45595881817703404,0.03381553020069421,0.6646290837639339,0.04013777007502658,0.4938243230888955,0.03756150654179729,0.7642789932316155,0.03563193241007943,0.663711225014066,0.03186838684134503,0.5885475111896693,0.08196591249155374
7,0.39787793148684025,0.039357628256228724,0.19615883585542773,0.03489947174144547,0.6284934112825041,0.08942546228759829,0.455797031991616,0.03471630339651174,0.657741771963602,0.03809848267063186,0.4925930925538294,0.03727568164611063,0.7637428198368379,0.03703772097975066,0.6625987817240584,0.03263990664390973,0.5796378915081163,0.08057191497475463
